등종류,행정동,소재지 주소,상세위치,위도,경도,데이터기준일
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리1661-2,,33.20069504,126.2775269,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리1670-2,,33.2005806,126.2767029,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리3456-7,,33.23389816,126.2655258,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리3456-7,,33.23366928,126.2652512,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리3406-3,,33.23339081,126.2649078,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리3407-6,,33.23311234,126.2645493,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리3411-3,,33.23280334,126.2641373,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리3411-3,,33.23263931,126.263916,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리4165,,33.23223114,126.2635345,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리3394-5,,33.23194122,126.2632446,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리3394-10,,33.2315979,126.2629166,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리3392-1,,33.23121262,126.2625656,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리3391-6,,33.23091125,126.2622833,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리3376-4,,33.23064041,126.2619781,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리3377-4,,33.23026276,126.2616806,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리3380-3,,33.22988891,126.2613677,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리4165,,33.22958755,126.2610703,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리3387-5,,33.22943497,126.2608643,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리3689-5,,33.22874832,126.260086,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리3396-5,,33.23257065,126.2651291,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리2448-5,,33.23178482,126.265213,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리2448-5,,33.23096466,126.2652588,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리4165,,33.23014069,126.2653503,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리3357-1,,33.22948456,126.2652969,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리3357-1,,33.2286377,126.2651291,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리4165,,33.22784805,126.2649765,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리3248-1,,33.22737503,126.2648926,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리3248-1,,33.22680283,126.2647781,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리3248-1,,33.22631073,126.2646942,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리3208-2,,33.22581482,126.2647705,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리3208-2,,33.22543335,126.2648773,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리3202-3,,33.2250824,126.2654266,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리3396-5,,33.23296738,126.2652893,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리2773-5,,33.22089767,126.2672958,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리2773,,33.22113419,126.2669449,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리2771-4,,33.22117233,126.2672119,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리2773,,33.22118759,126.2675018,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리2771-4,,33.22121429,126.2678146,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리2771-1,,33.22124481,126.2681046,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리2771-4,,33.22126389,126.2684402,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리2771-4,,33.22129822,126.2687531,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리2759-3,,33.22132111,126.2690582,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리4165,,33.22134018,126.2693939,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리4165,,33.22134399,126.2697144,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리4165,,33.22135162,126.2700043,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리2757-3,,33.22144318,126.2685623,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리2757-4,,33.22158051,126.2685699,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리2757-4,,33.22169876,126.2685547,2025-07-25
